country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Aruba,ABW,LCN,HIC,,,7.582,107624.0,17.0563223230356,,,,,,,,,98.8400017151311,100.0,,,,44.474,,,,,,,,
Afghanistan,AFG,MEA,LIC,33.0,65.0,5.797,42647492.0,2.400970026561,,,,,,,,30.0340981310563,55.9519412878114,85.3,0.36,,,27.265,32.9304513537869,49.7810848710223,0.1,55.0,59.0,30.4,22.7,
Angola,AGO,SSF,LMC,-12.5,18.5,6.925,37885849.0,2.85242119224488,2220.0,,,,,,,,52.1772757616933,51.1,,0.244,1.265,69.281,59.1622729537789,31.7494401531339,1.6,53.0,64.0,23.2,,
Albania,ALB,ECS,UMC,41.0,20.0,8.332,2714617.0,16.922756199529,8690.0,,,,,,,70.7360679461577,99.2992661348186,100.0,,,,65.38,3.0231082827299,93.9408931427863,0.1,81.0,97.0,4.5,21.9,
Andorra,AND,ECS,HIC,,,6.076,81938.0,15.9456903127384,48870.0,,,3654.07470703,,,,90.640001490064,100.0,100.0,,,,87.747,,,,98.0,98.0,,36.3,
United Arab Emirates,ARE,MEA,HIC,24.0,54.0,0.932,10876981.0,1.76696037563358,49500.0,,,,98.4300003051758,98.8099975585938,,,99.0913054641249,100.0,1.98,,,88.008,7.09169127061723,77.0996232320676,0.1,98.0,96.0,2.7,9.0,
Argentina,ARG,LCN,UMC,-34.0,-64.0,7.668,45696159.0,12.4160041547474,13440.0,38.1,42.4,,,,,,,100.0,3.34,4.082,4.354,92.579,17.5964944783087,76.6944625404959,0.4,82.0,75.0,3.2,23.8,
Armenia,ARM,ECS,UMC,40.0,45.0,8.2,3033500.0,13.7027691969357,7780.0,,,,,,,82.4117239415569,93.9797141565547,100.0,,,,63.929,6.69449890981904,88.6277513245613,0.4,96.0,94.0,2.5,24.9,
American Samoa,ASM,EAS,HIC,,,7.021,46765.0,8.04447770768737,,,,,,,,,54.1452985866279,,,,,87.284,,,,,,,,
Antigua and Barbuda,ATG,LCN,HIC,,,6.893,93772.0,11.7844974219246,21380.0,,,,,,,,97.403718511033,100.0,,,,24.338,9.83439461391756,84.7928092808798,1.1,97.0,99.0,,,
Australia,AUS,EAS,HIC,-25.0,135.0,6.9,27204809.0,17.7300159228367,62550.0,,,,,,,,100.0,100.0,,,,86.75,4.94105432186094,89.1143536670652,0.1,91.0,93.0,2.5,13.1,
Austria,AUT,ECS,HIC,47.5,14.5,9.8,9178482.0,20.6064031791903,54160.0,,,6208.64453125,,,,98.8963233865813,99.9723671174221,100.0,,5.508,,59.819,3.5699786156552,90.9847050700664,,90.0,85.0,2.5,24.9,
Azerbaijan,AZE,ECS,UMC,40.5,47.5,5.9,10202850.0,8.5557671289167,7310.0,,,,,,,71.6117027151749,,100.0,,,,57.997,5.98818904163466,90.2481711224634,0.1,71.0,51.0,2.5,19.6,
Burundi,BDI,SSF,LIC,-3.5,30.0,6.718,14047786.0,2.53180465590806,190.0,,,,,,,,45.6906846411766,11.6,,,,15.16,51.1748058045556,36.7638905790271,0.8,86.0,89.0,,11.2,
Belgium,BEL,ECS,HIC,50.5,4.5,9.4,11876844.0,20.5580809256443,54840.0,,,,,,,99.739449377802,99.4862170542849,100.0,5.48,,20.89,98.224,7.89790553547321,85.9811278647269,0.2,96.0,97.0,2.5,26.7,
Benin,BEN,SSF,LMC,9.5,2.25,8.797,14462724.0,3.11814703786092,1430.0,,,,,,,,19.4935017104267,57.0,0.45,0.195,0.595,50.669,51.8319985999825,38.9765291553727,0.7,44.0,63.0,10.3,6.3,
Burkina Faso,BFA,SSF,LIC,13.0,-2.0,7.964,23548781.0,2.65177208111112,880.0,,,,,,,,24.7564935540426,21.7,,0.147,1.026,33.166,54.1048280089536,34.7652014223855,0.5,88.0,91.0,15.4,14.3,
Bangladesh,BGD,SAS,LMC,24.0,90.0,5.01,173562364.0,6.49846299627493,2820.0,,,,,,2.0343847791384,59.1092953183807,59.2951914692048,99.5,,,,41.23,22.6128372233556,70.2556717831391,0.1,96.0,97.0,11.9,32.9,
Bulgaria,BGR,ECS,HIC,43.0,25.0,15.7,6444366.0,22.0303362606903,15320.0,,,,,,,95.6543313759674,86.0558628837298,100.0,,4.896,,77.037,2.21400417234221,95.3110776571572,0.1,94.0,94.0,2.5,39.5,
Bahrain,BHR,MEA,HIC,,,2.089,1588670.0,3.85339957070368,28810.0,,,,96.2900009155273,97.8199996948242,,98.9039755631804,100.0,100.0,,,,89.999,5.00867408980183,86.0990092950325,0.1,99.0,96.0,,15.0,
"Bahamas, The",BHS,LCN,HIC,,,8.713,401283.0,11.7758539484603,,,,,,,,,,100.0,2.68,,,83.764,10.7101925570542,75.4340380076986,1.1,86.0,90.0,,11.3,
Bosnia and Herzegovina,BIH,ECS,UMC,44.0,18.0,13.457,3164253.0,22.2302388589029,8630.0,,,,,,,86.9706794612828,,100.0,,,,50.708,1.80974774248712,94.4236633469105,,69.0,79.0,2.5,36.2,
Belarus,BLR,ECS,UMC,53.0,28.0,13.338,9133712.0,17.6665640538227,8240.0,,,,,,,93.0997559157322,99.5586639196019,100.0,,,,81.125,1.60865374337322,92.6768424325138,,98.0,98.0,2.5,30.1,
Belize,BLZ,LCN,UMC,,,4.925,417072.0,5.02383883818482,7640.0,,,,,,4.62276317232973,,88.2510779331487,99.6,,,,46.838,15.935660184566,65.2188110018724,1.2,84.0,88.0,4.6,8.8,
Bermuda,BMU,NAC,HIC,,,8.858,64636.0,21.7439063068081,140280.0,,,,,,,,99.9416526015971,100.0,,,,100.0,,,,,,,,
Bolivia,BOL,LCN,LMC,-17.0,-65.0,7.172,12413315.0,5.64147449734418,3690.0,,,,,,,,68.612563095457,99.8,1.35,,,71.545,18.622322153459,72.6759001252702,0.4,67.0,59.0,23.0,12.4,
