Model,Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper
Model 1: Distal Only,const,37.579190581744754,21.69195138082786,1.732402489845087,0.08507054995587428,-5.250388030176573,80.40876919366607
Model 1: Distal Only,gni_per_capita,8.575630674668231e-06,9.52007180534331e-06,0.9007947471420337,0.3690103654170238,-1.022123349950022e-05,2.737249484883668e-05
Model 1: Distal Only,poverty_headcount,-0.07737562651206717,0.060127795304614824,-1.2868528792727674,0.1999480114246437,-0.196094689197991,0.04134343617385666
Model 1: Distal Only,gini_index,-0.16223220614302375,0.17617429895749478,-0.9208619367468871,0.35846691904884465,-0.510078780853177,0.1856143685671296
Model 1: Distal Only,health_expenditure_pc,-5.2699969958294135e-06,0.00029313205498778113,-0.01797823508605733,0.9856779375824347,-0.0005840433020046882,0.0005735033080130293
Model 1: Distal Only,female_literacy,0.7794258829385542,0.3193553649233638,2.4406224806199646,0.01571947599308152,0.14887607822098403,1.4099756876561242
Model 1: Distal Only,adult_literacy,-1.0098324430646817,0.3848705225095776,-2.623823816071941,0.009510461634685538,-1.7697383643827709,-0.24992652174659258
Model 1: Distal Only,education_expenditure_gdp,-0.0872941427344915,0.4787442170274364,-0.18233983749507882,0.8555398693496388,-1.0325485699734287,0.8579602845044457
Model 2: Distal + Intermediate,const,45.98206879744713,22.32331344651975,2.059822745740992,0.041056001428032354,1.8914693727259362,90.07266822216832
Model 2: Distal + Intermediate,gni_per_capita,6.574337910180038e-07,1.1815563617231648e-05,0.05564133987304777,0.9556978291467507,-2.2679392243913125e-05,2.399425982594913e-05
Model 2: Distal + Intermediate,poverty_headcount,-0.07852441481217927,0.06065987464579794,-1.2945034138414404,0.19738028805264707,-0.1983332523563496,0.041284422731991066
Model 2: Distal + Intermediate,gini_index,-0.16750190490559438,0.17785483389052129,-0.9417900050369187,0.3477378992073922,-0.5187815774149566,0.18377776760376782
Model 2: Distal + Intermediate,health_expenditure_pc,-7.415295937398376e-05,0.00029917820771099623,-0.2478554836641542,0.8045680431446867,-0.000665057465749943,0.0005167515470019755
Model 2: Distal + Intermediate,female_literacy,0.8847086362645733,0.32866376258959074,2.6918350514027534,0.007871696931987008,0.23556744418860565,1.533849828340541
Model 2: Distal + Intermediate,adult_literacy,-1.2068193882848235,0.4017264660790407,-3.004082355000675,0.0030984065249450845,-2.0002661468331704,-0.41337262973647637
Model 2: Distal + Intermediate,education_expenditure_gdp,-0.251336012703069,0.4881779719685204,-0.5148450506473817,0.6073807850319293,-1.2155324552071027,0.7128604298009646
Model 2: Distal + Intermediate,safe_water,0.019116384467397184,0.01138626362856357,1.6788988109709528,0.09514835305828641,-0.0033725345631034492,0.041605303497897816
Model 2: Distal + Intermediate,basic_sanitation,-0.0028150634828832005,0.01710068673844741,-0.16461698444858963,0.8694558748699301,-0.03659049429779538,0.03096036733202898
Model 2: Distal + Intermediate,electricity_access,-0.001120273916609242,0.017406145165329484,-0.0643608280850527,0.9487642766270361,-0.03549901324899703,0.03325846541577854
Model 2: Distal + Intermediate,hospital_beds,0.12940250295418337,0.1616708685654732,0.8004070498438509,0.42467685872704464,-0.18991234793675021,0.44871735384511696
